issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,Thank you for reaching out. Your request has been escalated to a human support agent at Claude for further assistance. Reason: account access issue. You will be contacted shortly.,team_and_enterprise_plans,escalated,product_issue,"The user has lost access to their Claude team workspace and is requesting immediate restoration, which requires human judgment to resolve, especially since they are not the workspace owner or admin."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"I understand your concern about your test score, but I'm unable to review your answers or adjust your score. According to our documentation, test scores are sent to the applicant tracking system (such as Jobvite, iCIMS, or Greenhouse) and are displayed in the candidate's profile. If you have concerns about your score, I recommend reaching out to the recruiter or hiring manager who invited you to take the test, as they will have access to your test results and can provide further guidance.",interviews,replied,product_issue,"The user is disputing their test score, which is a product issue related to the interviews product area, but it's not a billing dispute, security incident, or other critical issue that requires escalation."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,Thank you for reaching out. Your request has been escalated to a human support agent at Visa for further assistance. Reason: Billing or payment dispute — requires human review. You will be contacted shortly.,dispute_resolution,escalated,product_issue,"The customer is requesting a refund due to a merchant sending the wrong product and ignoring their emails, which falls under dispute resolution and potentially involves fraud, requiring escalation for further investigation and resolution."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,Thank you for reaching out. Your request has been escalated to a human support agent at HackerRank for further assistance. Reason: Billing or payment dispute — requires human review. You will be contacted shortly.,interviews,escalated,product_issue,"The user is requesting a refund due to a product issue, which falls under billing disputes and requires escalation."
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,Thank you for reaching out. Your request has been escalated to a human support agent at HackerRank for further assistance. Reason: Billing dispute. You will be contacted shortly.,subscriptions,escalated,product_issue,"The user is reporting an issue with their payment, which falls under billing disputes and requires escalation for further assistance."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"I can't assist with filling in forms for your company's infosec process as that information is not provided in our support documentation. For questions about using HackerRank for hiring, I can suggest contacting our support team at support@hackerrank.com or reaching out to your dedicated customer account manager, if you have one. They can provide more information and guidance on the hiring process.",general_help,replied,feature_request,"The user is seeking information on using HackerRank for hiring and infosec processes, which is a standard how-to question answerable from the support docs."
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"The issue you're experiencing with not being able to see the ""Apply"" tab is outside the scope of the provided documentation, which primarily covers accessing coding challenges and integrating HackerRank with Google Calendar. To resolve your issue, I recommend contacting HackerRank support directly for assistance.",screen,replied,product_issue,"The user is experiencing a specific issue with not being able to see the apply tab, which is a product-related issue that can be resolved with standard support, and the provided documentation does not directly address the issue but suggests it's a UI or navigation problem."
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"The issue you're experiencing with none of your submissions working across any challenges on the HackerRank website is outside the scope of the provided documentation. The available documentation covers topics such as plagiarism best practices, integrating with applicant tracking systems, and getting started with learning paths, but does not address technical issues with submissions. I recommend contacting HackerRank support directly for assistance with resolving this issue.",screen,replied,product_issue,"The issue reported is a technical problem with the HackerRank website, specifically with submissions not working across any challenges, which is a standard product issue that can be addressed by support without requiring escalation."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"The issue you're facing with the compatibility check, specifically with zoom connectivity, is not addressed in the provided documentation. The documentation primarily covers topics such as coding challenges, test reports, and integration with Teamtailor. Since the provided information does not cover your specific issue, I recommend contacting HackerRank support directly for assistance. You can reach out to them at help@hackerrank.com for further guidance on resolving the compatibility check issue.",integrations,replied,product_issue,"The user is experiencing a technical issue with Zoom connectivity while taking a test, which is a product issue that can be resolved with standard support."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"To request a rescheduling of your HackerRank assessment, please reach out to the recruiting team at your company, ""Company Name"", as they are responsible for managing the interview process. You can contact them at the email address provided in the invitation email, which is likely [recruiting@CompanyName.com](mailto:recruiting@CompanyName.com). They will be able to assist you with rescheduling the assessment. If you have any technical issues with the assessment, you can also contact HackerRank support at [support@hackerrank.com](mailto:support@hackerrank.com) for assistance.",interviews,replied,product_issue,"The user is requesting a rescheduling of their HackerRank assessment due to unforeseen circumstances, which is a standard support issue that can be handled without escalation."
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
",Candidate inactivity help,HackerRank,"The support documentation provided does not specify the inactivity times for candidates and interviewers in HackerRank interviews. It also does not mention the ability to extend inactivity times. The documentation primarily focuses on the virtual lobby feature and its functionality. To address your concern, I recommend contacting HackerRank support directly to inquire about inactivity times and potential adjustments to prevent candidates from being sent back to the HR lobby during interviews.",interviews,replied,product_issue,"The ticket is a standard how-to question regarding inactivity times for candidates and interviewers, which can be answered based on the support documentation, and does not require escalation."
"it’s not working, help",Help needed,None,"It seems like you're having trouble with the Claude integration in Slack. If you're not an Admin in your Slack instance, you may need to have a Slack Admin approve the Claude app before you can use it. Try checking with your Slack Admin to see if they can approve the app and make it available for your team. If you're still having issues, you can also try sending a request to your Slack Admin through the ""Request to install"" prompt.",integration_support,replied,product_issue,"The user is experiencing a product issue with Claude in Slack, but it's a standard how-to question that can be answered from the support documentation, so escalation is not required."
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,"To remove an interviewer from the platform, you need to follow the steps for removing user access from an interview template. Go to Interviews > Templates, click the More options (⋮) menu next to the template, and select Share. In the Share Interview Template dialog box, select the user you want to remove, then select Remove User from the drop-down menu. Finally, click Confirm in the confirmation dialog box.",interviews,replied,product_issue,"The user is asking for help with removing an interviewer from the platform, which is a standard how-to question that can be answered from the support documentation."
"Hi, please pause our subscription. We have stopped all hiring efforts for now.
",Subscription pause,HackerRank,Thank you for reaching out. Your request has been escalated to a human support agent at HackerRank for further assistance. Reason: Subscription change request — requires human review. You will be contacted shortly.,settings,escalated,product_issue,"The user is requesting to pause their subscription, which is a subscription change that requires escalation, and the support documentation provides steps to pause the subscription but it's still a sensitive matter that requires careful handling."
"Claude has stopped working completely, all requests are failing",Claude not responding,Claude,"The issue of Claude not responding and all requests failing is outside the scope of the provided documentation, which primarily covers the Claude Enterprise Analytics API and Claude Cowork features. The documentation does not provide troubleshooting steps for Claude not working completely. I recommend contacting Claude's support team directly for assistance with this issue.",claude_api,replied,product_issue,"The issue reported is a product issue with Claude not responding, which is a standard technical problem that can be addressed through support documentation or troubleshooting, and does not meet the criteria for escalation."
